               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.018035,           0.0081175,            0.019778,               0.921,              0.8703,             0.94976,              0.7521,            0.013114,           0.0026775,            0.008207,            0.002476,            0.002476,            0.002476
                  78,            0.017419,           0.0085118,            0.019231,             0.89559,              0.9015,              0.9507,             0.77451,            0.010495,           0.0025888,            0.007192,            0.002377,            0.002377,            0.002377
                  79,            0.017986,           0.0078574,            0.019706,             0.91622,             0.91102,             0.96532,             0.79752,            0.011623,           0.0025625,           0.0051706,            0.002278,            0.002278,            0.002278
                  80,            0.017339,           0.0082988,            0.018388,             0.87958,              0.8642,              0.9406,             0.74196,            0.011296,           0.0026524,           0.0070279,            0.002179,            0.002179,            0.002179
                  81,            0.016461,           0.0081618,            0.017909,               0.898,             0.90921,             0.94961,             0.76919,            0.010622,           0.0025524,           0.0082708,             0.00208,             0.00208,             0.00208
                  82,             0.01686,           0.0080547,            0.018089,             0.89123,              0.8888,             0.95324,             0.75157,            0.013167,           0.0026167,           0.0083368,            0.001981,            0.001981,            0.001981
                  83,            0.016858,           0.0078691,            0.016856,             0.89159,             0.87848,             0.95156,             0.77361,            0.011648,            0.002532,           0.0079169,            0.001882,            0.001882,            0.001882
                  84,             0.01681,           0.0078117,            0.016706,             0.90195,             0.87685,             0.95032,             0.76362,            0.012494,           0.0025406,           0.0076945,            0.001783,            0.001783,            0.001783
                  85,            0.016272,           0.0079172,            0.016299,             0.93689,             0.89272,             0.96008,             0.77321,             0.01152,           0.0025144,           0.0068129,            0.001684,            0.001684,            0.001684
                  86,              0.0179,            0.007774,            0.016932,             0.90974,             0.89647,             0.95327,             0.77506,            0.012702,           0.0025474,           0.0066252,            0.001585,            0.001585,            0.001585
                  87,            0.016269,           0.0078485,            0.017199,             0.89181,             0.88667,             0.95435,             0.78056,            0.011138,           0.0025668,           0.0065264,            0.001486,            0.001486,            0.001486
                  88,            0.015371,           0.0076118,            0.016021,             0.89189,             0.90436,             0.95166,             0.77974,            0.011041,           0.0025988,           0.0067215,            0.001387,            0.001387,            0.001387
                  89,            0.015679,            0.007661,            0.014755,             0.89193,             0.89089,             0.95259,             0.78008,            0.011845,           0.0025033,           0.0068132,            0.001288,            0.001288,            0.001288
                  90,            0.016175,           0.0079425,            0.016484,              0.8863,               0.906,             0.95756,              0.7737,            0.012033,           0.0025104,            0.006874,            0.001189,            0.001189,            0.001189
                  91,            0.014611,           0.0078526,            0.016136,              0.9413,             0.89072,             0.95593,             0.76809,             0.01121,           0.0025145,           0.0057779,             0.00109,             0.00109,             0.00109
                  92,            0.015961,           0.0077499,            0.017772,             0.91245,             0.89543,              0.9533,             0.76485,            0.011714,           0.0026304,           0.0064054,            0.000991,            0.000991,            0.000991
                  93,            0.015988,            0.007781,            0.016117,             0.91672,             0.90806,             0.95527,             0.75158,            0.011398,           0.0026425,           0.0061692,            0.000892,            0.000892,            0.000892
                  94,            0.016166,           0.0076889,            0.017851,             0.91236,             0.90146,             0.95112,             0.76757,            0.011128,           0.0025666,           0.0066271,            0.000793,            0.000793,            0.000793
                  95,             0.01509,           0.0077471,            0.015736,             0.91087,             0.89481,             0.94741,             0.75673,            0.011357,            0.002624,            0.006314,            0.000694,            0.000694,            0.000694
                  96,            0.015837,           0.0077185,            0.017934,             0.91639,             0.88462,             0.95386,              0.7683,            0.011462,           0.0025985,           0.0059134,            0.000595,            0.000595,            0.000595
                  97,             0.01343,           0.0075204,            0.013875,             0.90774,             0.90675,             0.94932,             0.77662,            0.010696,           0.0025831,           0.0068914,            0.000496,            0.000496,            0.000496
                  98,            0.015169,           0.0074856,            0.015751,             0.92565,             0.90784,             0.95719,              0.7681,            0.011578,           0.0025669,           0.0063609,            0.000397,            0.000397,            0.000397
                  99,            0.013965,           0.0076316,            0.013678,             0.92349,             0.90788,             0.95627,             0.76843,            0.011331,           0.0025885,           0.0062214,            0.000298,            0.000298,            0.000298
